ISIN,AMC (M* Management Fee)
AU0000044828,0.45
AU0000169229,0.8
AU0000209348,0.85
AU0000254278,0.5
AU60ETL01863,
AU60ETL03315,1.1
AU60HGI17949,0.7
AU60HGI34266,0.85
AU60HGI37475,0.5
AU60HGI41881,
AU60HGI46484,0.9
AU60HGI54686,0.95
AU60HGI59909,
AU60HGI71276,0.8
AU60HGI84469,0.7
AU60HOW00528,
AU60HOW01658,
AU60HOW55043,
AU60HOW87434,
AU60IOF00463,0.45
AU60IOF00471,0.3
AU60IOF01115,0.25
AU60IOF01131,0.35
AU60IOF01271,0.55
AU60IOF01412,0.1
AU60IOF01453,0.45
GB0001397008,1.5
GB0001920486,1.15
GB0001990497,0.3
GB0002398047,1.5
GB0002540127,1.5
GB0002643673,1.15
GB0002703972,1.5
GB0002725421,1.5
GB0002762101,1.15
GB0002794682,1.5
GB0002796067,1.5
GB0003222873,1.5
GB0003232138,0.75
GB0003243465,1.25
GB0003486148,1.5
GB0004209762,1.5
GB0004210323,0.5
GB0004210760,
GB0004213228,1.5
GB0004213442,0.5
GB0004213772,
GB0004216239,1.5
GB0004218169,1.5
GB0004489455,0.25
GB0005006183,1.5
GB0005027221,1.5
GB0005027338,1.5
GB0005030043,0.75
GB0005030373,0.75
GB0005211817,1.5
GB0006155450,
GB0006155674,
GB0007017907,0.95
GB0007018194,1.5
GB0007033870,0.95
GB0007447286,1.5
GB0007447625,0.75
GB0007451072,0.7
GB0007451965,0.45
GB0007452377,0.45
GB0007476087,1.5
GB0007476426,0.75
GB0007493033,1.5
GB0007493470,0.75
GB0007494221,0.75
GB0007495293,1.15
GB0007502080,0.6
GB0007533820,0.6
GB0007673055,0.75
GB0007674244,0.5
GB0007674467,0.5
GB0007680183,1.5
GB0007681603,0.75
GB0007683203,1.5
GB0007685026,0.75
GB0007698847,1.5
GB0007716078,0.75
GB0008058074,1.5
GB0008063942,0.75
GB0008068446,0.75
GB0008088170,1.5
GB0008088394,1.5
GB0008089251,1.15
GB0008089368,1.15
GB0008106527,1.5
GB0008109208,1.5
GB0008110644,1.5
GB0008112467,1.5
GB0008127119,1.5
GB0008136391,1.5
GB0008158734,1.5
GB0008160250,1.5
GB0008160706,1.5
GB0008160813,1.5
GB0008165531,1.5
GB0008165861,1.5
GB0008446956,1.5
GB0009065060,0.35
