Domicile,ISIN,Fund Name (M* Fund Legal Name),Share Class Name (M* Name) ,Share Class Currency (M* Base Currency) ,Fund Currency    (M* Portfolio Currency)
Australia,AU60ETL01863,Janus Henderson Global Research Growth Fund,Janus Henderson Global Rsrch Gr,Australian Dollar,Australian Dollar
Australia,AU60ETL03315,Janus Henderson Global Natural Resources Fund,Janus Henderson Global Natural Resources,Australian Dollar,Australian Dollar
Australia,AU60HGI17949,Janus Henderson Global Multi-Strategy Fund,Janus Henderson Global Multi-Strat Instl,Australian Dollar,
Australia,AU60HGI34266,Janus Henderson Net Zero Transition Resources Fund,Janus Henderson Net Zero Transition Res,Australian Dollar,Australian Dollar
Australia,AU60HGI37475,Janus Henderson Sustainable Credit Fund,Janus Henderson Sustainable Credit,Australian Dollar,Australian Dollar
Australia,AU60HGI41881,Janus Henderson Tactical Income Fund,Janus Henderson Tactical Income Instl,Australian Dollar,Australian Dollar
Australia,AU60HGI46484,Janus Henderson Global Multi-Strategy Fund,Janus Henderson Global Multi-Strategy,Australian Dollar,
Australia,AU60HGI54686,Janus Henderson Emerging Markets Equity Fund,Janus Henderson Emerging Markets Eq Fd,Australian Dollar,Australian Dollar
Australia,AU60HGI59909,Janus Henderson Global Multi-Strategy Fd,Janus Henderson Glb Mlt-Stgy Instl NZD,New Zealand Dollar,
Australia,AU60HGI71276,Janus Henderson Global Sustainable Equity Fund,Janus Henderson Global Sustainable Eq,Australian Dollar,Australian Dollar
Australia,AU60HGI84469,Janus Henderson Global Sustainable Equity Fund,Janus Henderson Global Sust Eq Inst,Australian Dollar,Australian Dollar
Australia,AU60HOW00528,Kapstream Absolute Ret Inc Fd,Kapstream Absolute Return Income,Australian Dollar,Australian Dollar
Australia,AU60HOW01658,Kapstream Absolute Return Income Fund,Kapstream Absolute Return Income Class I,Australian Dollar,Australian Dollar
Australia,AU60HOW55043,Kapstream Absolute Return Income Plus Fund,Kapstream Absolute Return Income Plus A,Australian Dollar,Australian Dollar
Australia,AU60HOW87434,Kapstream Absolute Return Income Plus Fund,Kapstream Absolute Return Income Plus I,Australian Dollar,Australian Dollar
Australia,AU60IOF00463,Janus Henderson Australian Fixed Interest Fund,Janus Henderson Australian Fxd Intst,Australian Dollar,Australian Dollar
Australia,AU60IOF00471,Janus Henderson Conservative Fixed Interest Fund,Janus Henderson Cnsrv Fxd Intst,Australian Dollar,Australian Dollar
Australia,AU60IOF01115,Janus Henderson Conservative Fixed Interest Fund,Janus Henderson Cnsrv Fxd Intst Instl,Australian Dollar,Australian Dollar
Australia,AU60IOF01131,Janus Henderson Australian Fixed Interest Fund,Janus Henderson Australian Fxd IntstInst,Australian Dollar,Australian Dollar
Australia,AU60IOF01271,Janus Henderson Diversified Credit Fund,Janus Henderson Diversified Credit,Australian Dollar,Australian Dollar
Australia,AU60IOF01412,Janus Henderson Cash Fund - Institutional,Janus Henderson Cash Institutional,Australian Dollar,Australian Dollar
Australia,AU60IOF01453,Janus Henderson Tactical Income Fund,Janus Henderson Tactical Income,Australian Dollar,Australian Dollar
United Kingdom,GB0001920486,Janus Henderson Fixed Interest Monthly Income Fund,Janus Henderson Fxd Intr MthInc Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0001990497,The City of London Investment Trust Plc,City of London Ord,Pound Sterling,Pound Sterling
United Kingdom,GB0002540127,Janus Henderson Multi-Manager Income & Growth Fund,Janus Henderson Mlt-Mgr Inc & Gr A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0002725421,Janus Henderson Multi-Manager Distribution Fund,Janus Henderson Mlt-Mgr Distr A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0003243465,Janus Henderson Asian Dividend Income Unit Trust,Janus Henderson Asian Div Inc UT Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0004489455,Janus Henderson Institutional UK Equity Tracker Trust,Janus Henderson Instl UK Eq Trck A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0005027221,Janus Henderson Global Sustainable Equity Fund,Janus Henderson Global Sust Eq A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0005027338,Janus Henderson UK Responsible Income Fund,Janus Henderson UK Responsible Inc A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0005030043,Janus Henderson Global Sustainable Equity Fund,Janus Henderson Global Sust Eq I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0005030373,Janus Henderson UK Responsible Income Fund,Janus Henderson UK Responsible Inc I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007017907,Janus Henderson Sterling Bond Unit Trust,Janus Henderson Sterling Bond UT Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007018194,Janus Henderson Global Select Fund,Janus Henderson Global Select Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007033870,Janus Henderson Sterling Bond Unit Trust,Janus Henderson Sterling Bond UT Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007447286,Janus Henderson UK Smaller Companies Fund,Janus Henderson UK Smaller Coms A Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007447625,Janus Henderson UK Smaller Companies Fund,Janus Henderson UK Smaller Coms I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007451072,Janus Henderson All Stocks Credit Fund,Janus Henderson All Stocks Credit A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007451965,Janus Henderson All Stocks Credit Fund,Janus Henderson All Stocks Credit I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007452377,Janus Henderson All Stocks Credit Fund,Janus Henderson All Stocks Credit I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007476087,Janus Henderson European Smaller Companies Fund,Janus Henderson European Smr Coms A Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007476426,Janus Henderson European Smaller Companies Fund,Janus Henderson European Smr Coms I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007493033,Janus Henderson UK Equity Income & Growth Fund,Janus Henderson UK Eq Inc&Gr A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007493470,Janus Henderson UK Equity Income & Growth Fund,Janus Henderson UK Eq Inc&Gr I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007494221,Janus Henderson UK Equity Income & Growth Fund,Janus Henderson UK Eq Inc&Gr I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007495293,Janus Henderson Strategic Bond Fund,Janus Henderson Strategic Bond A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007502080,Janus Henderson Strategic Bond Fund,Janus Henderson Strategic Bond I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007533820,Janus Henderson Strategic Bond Fund,Janus Henderson Strategic Bond I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007673055,Janus Henderson Institutional Overseas Bond Fund,Janus Henderson Instl Overseas Bd A Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007674244,Janus Henderson Institutional Overseas Bond Fund,Janus Henderson Instl Overseas Bd I Inc,Pound Sterling,Pound Sterling
United Kingdom,GB0007674467,Janus Henderson Institutional Overseas Bond Fund,Janus Henderson Instl Overseas Bd I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007680183,Janus Henderson Asia Pacific Capital Growth Fund,Janus Henderson AsiaPac Cptl Gr A Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007681603,Janus Henderson Asia Pacific Capital Growth Fund,Janus Henderson AsiaPac Cptl Gr I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007683203,Janus Henderson Japan Opportunities Fund,Janus Henderson Japan Opps A Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007685026,Janus Henderson Japan Opportunities Fund,Janus Henderson Japan Opps I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007698847,Janus Henderson Global Technology Leaders Fund,Janus Henderson Glb Tech Leaders A Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0007716078,Janus Henderson Global Technology Leaders Fund,Janus Henderson Glb Tech Leaders I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0009065060,Henderson Smaller Companies Investment Trust,Henderson Smaller Companies Ord,Pound Sterling,Pound Sterling
United Kingdom,GB0009580571,Henderson High Income Trust,Henderson High Income Ord,Pound Sterling,Pound Sterling
United Kingdom,GB0030617699,Janus Henderson European Mid and Large Cap Fund,Janus Henderson Eurp Mid & Lrg Cap I Acc,Pound Sterling,Pound Sterling
United Kingdom,GB0030617707,Janus Henderson European Mid and Large Cap Fund,Janus Henderson Eurp Mid & Lrg Cap A Acc,Pound Sterling,Pound Sterling
