ISIN,Investment Objective (M* KIID Objective/Investment Policy)
GB00BZ00WR55,"Objective and investment policy Objective The Fund aimsto generate a positive return (morethan zero), afterthe deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICE Bank of America 3 month Sterling GovernmentBillIndex by at least 2% per annum,beforethe deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality,including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer,Collective Investment Schemes (includingthose managed by Janus Henderson),preference shares, cash andmoneymarket instruments.In certain market conditions,theFundmayinvestmorethan35%ofits assetsingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cashwith low volatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFund is designedto be used only as one component ofseveral in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BZ00WT79,"Objective and investment policy Objective The Fund aimsto generate a positive return (morethan zero), afterthe deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICE Bank of America 3 month Sterling GovernmentBillIndex by at least 2% per annum,beforethe deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality,including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer,Collective Investment Schemes (includingthose managed by Janus Henderson),preference shares, cash andmoneymarket instruments.In certain market conditions,theFundmayinvestmorethan35%ofits assetsingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the Investment Manager. The Investment Manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The Investment Manager has a high degree of freedom to choose individual investments for the Fund. Strategy The Investment Manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cashwith low volatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFund is designedto be used only as one component ofseveral in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on ourwebsite atwww.janushenderson.com."
GB00BGK8VR99,"TheFundaims to generate a positive return (more than zero),after the deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICEBank of America 3month Sterling GovernmentBill Indexbyat least2%perannum,beforethedeductionof charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer,Collective Investment Schemes (including those managed by Janus Henderson),preference shares,cash andmoneymarket instruments. In certain marketconditions,theFundmayinvestmorethan35%of its assets ingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the Investment Manager. The Investment Manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The Investment Manager has a high degree of freedom to choose individual investments for the Fund. Strategy The Investment Manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with lowvolatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BGK8VS07,"Objective and investment policy Objective The Fund aims to generate a positive return (more than zero), after the deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICE Bank of America 3 month Sterling Government Bill Index by at least 2% per annum, before the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer, Collective Investment Schemes (including those managed by Janus Henderson),preference shares, cash andmoneymarket instruments. In certain market conditions, the Fund may invest more than 35% of its assets in government bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with low volatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BKP52584,"TheFundaims to generate a positive return (more than zero),after the deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICEBank of America 3month Sterling GovernmentBill Indexbyat least2%perannum,beforethedeductionof charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer,Collective Investment Schemes (including those managed by Janus Henderson),preference shares,cash andmoneymarket instruments. In certain marketconditions,theFundmayinvestmorethan35%of its assets ingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with lowvolatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BL1FVK72,"The Fund aims to generate a positive return (more than zero), after the deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target:To outperform the ICEBank of America 3 monthSterling Government Bill Index by at least 2% per annum, before the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer, Collective Investment Schemes (including those managed by Janus Henderson),preference shares,cash andmoneymarket instruments. In certain market conditions, the Fund may invest more than 35% of its assets in government bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment managermayuse derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with low volatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BGK8VT14,"TheFundaims to generate a positive return (more than zero),after the deduction of costs and charges, over a rolling 12 month period. An absolute return performance is not guaranteed over this specific, or any other, time period and consequently capital is in fact at risk. Performance target: To outperform the ICEBank of America 3month Sterling GovernmentBill Indexbyat least2%perannum,beforethedeductionof charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer,Collective Investment Schemes (including those managed by Janus Henderson),preference shares,cash andmoneymarket instruments. In certain marketconditions,theFundmayinvestmorethan35%of its assets ingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment manager may use derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk, to manage the Fund more efficiently, or to generate additional capital or income for the Fund. The Fund is actively managed with reference to the ICE Bank of America 3 month Sterling Government Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with lowvolatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
IE00BZ771832,"Objective and investment policy Objective The Fund aims to provide positive, consistent returns (although not guaranteed) above those that would be earned on cash equivalents. Performance target: To outperform the FTSE 3-Month USTreasury Bill Index by at least 2% per annum, before the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer, preference shares, cash and money market instruments. In certain marketconditions,theFundmayinvestmorethan35%of its assets ingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the Sub-Investment Adviser. TheSub-InvestmentAdvisermayusederivatives(complexfinancial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is activelymanaged with reference to theFTSE3-MonthUSTreasury Bill Index as this forms the basis of the Fund's performance target. The Sub-Investment Adviser has a high degree of freedom to choose individual investments for the Fund. Strategy The Sub-InvestmentAdviser manages the Fund, aiming to provide consistent positive absolute returns in excess of cash with lowvolatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment gradebondsacrossglobalfixedincomemarketscreatessteadyincomegeneration which is balanced with tactical trades that aim to dampen overall volatility and takeadvantageofanymarketmispricinganddislocations.TheFundisbenchmark agnosticseekingthebestriskadjustedopportunities acrosssectorsandcountries. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any business day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
IE00BZ76W439,"Objective and investment policy Objective The Fund aims to provide positive, consistent returns (although not guaranteed) above those that would be earned on cash equivalents. Performance target: To outperform the FTSE 3-Month USTreasury Bill Index by at least 2% per annum, before the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer, preference shares, cash and money market instruments. In certain marketconditions,theFundmayinvestmorethan35%of its assets ingovernment bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the Sub-Investment Adviser. TheSub-InvestmentAdvisermayusederivatives(complexfinancial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is activelymanaged with reference to theFTSE3-MonthUSTreasury Bill Index as this forms the basis of the Fund's performance target. The Sub-Investment Adviser has a high degree of freedom to choose individual investments for the Fund. Strategy The Sub-InvestmentAdviser manages the Fund, aiming to provide consistent positive absolute returns in excess of cash with lowvolatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment gradebondsacrossglobalfixedincomemarketscreatessteadyincomegeneration which is balanced with tactical trades that aim to dampen overall volatility and takeadvantageofanymarketmispricinganddislocations.TheFundisbenchmark agnosticseekingthebestriskadjustedopportunities acrosssectorsandcountries. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. TheFundis designed tobeusedonlyasonecomponentof several inadiversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any business day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
IE00BD359501,"Objective and investment policy Objective TheFundaims to provide positive, consistent returns (although not guaranteed) above those that would be earned on cash deposits over time. Performance target: To outperform the FTSE 3-Month US Treasury Bill Index by at least 2% per annum, before the deduction of charges, over any 5 year period. Investment policy The Fund invests at least 80% of its assets in a global portfolio of bonds of any quality, including high yield (non-investment grade) bonds and asset-backed and mortgage-backed securities, issued by governments or companies. The Fund may invest directly or via derivatives (complex financial instruments). The Fund may also invest in other assets including bonds of other types from any issuer, preference shares, cash and money market instruments. In certain market conditions, the Fund may invest more than 35% of its assets in government bonds issued by any one body. The Fund will not invest more than 15% of its assets in high yield (non-investment grade) bonds and will never invest in bonds rated lower than B- or B3 (credit agency ratings), or if unrated deemed to be of a comparable quality by the investment manager. The investment managermayuse derivatives (complex financial instruments), including total return swaps, with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to the FTSE 3-Month US Treasury Bill Index as this forms the basis of the Fund's performance target. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager manages the Fund to act as a 'risk reducer', aiming to provide consistent positive absolute returns in excess of cash with low volatility and capital stability across economic and credit cycles. Exposure to shorter maturity investment grade bonds across global fixed income markets creates steady income generation which is balanced with tactical trades that aim to dampen overall volatility and take advantage of any market mispricing and dislocations. The Fund is benchmark agnostic seeking the best risk adjusted opportunities across sectors and countries. Distribution policy This share class accumulates income which is retained within the price of the share class. Recommendation This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. The Fund is designed to be used only as one component of several in a diversified investment portfolio. Investors should consider carefully the proportion of their portfolio invested into this Fund. You can buy, sell or switch shares in the Fund on any business day, as defined in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
