ISIN,Launch Date                 (M* Inception Date)
AU60ETL01863,2009-12-18 00:00:00.000000000
AU60ETL03315,2012-07-01 00:00:00.000000000
AU60HGI17949,2021-03-01 00:00:00.000000000
AU60HGI34266,2022-03-09 00:00:00.000000000
AU60HGI37475,2023-02-07 00:00:00.000000000
AU60HGI41881,2024-07-16 00:00:00.000000000
AU60HGI46484,2020-06-03 00:00:00.000000000
AU60HGI54686,2023-08-09 00:00:00.000000000
AU60HGI59909,2024-04-11 00:00:00.000000000
AU60HGI71276,2021-09-01 00:00:00.000000000
AU60HGI84469,2022-03-23 00:00:00.000000000
AU60HOW00528,2007-05-31 00:00:00.000000000
AU60HOW01658,2007-05-31 00:00:00.000000000
AU60HOW55043,2019-11-06 00:00:00.000000000
AU60HOW87434,2018-08-16 00:00:00.000000000
AU60IOF00463,1994-06-28 00:00:00.000000000
AU60IOF00471,1994-06-28 00:00:00.000000000
AU60IOF01115,2002-08-01 00:00:00.000000000
AU60IOF01131,2002-08-01 00:00:00.000000000
AU60IOF01271,2012-10-31 00:00:00.000000000
AU60IOF01412,2008-07-31 00:00:00.000000000
AU60IOF01453,2009-06-30 00:00:00.000000000
GB0001920486,1979-04-11 00:00:00.000000000
GB0001990497,1891-01-01 00:00:00.000000000
GB0002540127,1998-02-27 00:00:00.000000000
GB0002725421,2001-03-19 00:00:00.000000000
GB0003243465,1994-05-04 00:00:00.000000000
GB0004489455,2000-10-24 00:00:00.000000000
GB0005027221,1991-08-01 00:00:00.000000000
GB0005027338,1995-05-15 00:00:00.000000000
GB0005030043,1991-08-01 00:00:00.000000000
GB0005030373,1995-05-15 00:00:00.000000000
GB0007017907,1988-04-22 00:00:00.000000000
GB0007018194,1982-02-18 00:00:00.000000000
GB0007033870,1988-04-22 00:00:00.000000000
GB0007447286,1983-01-31 00:00:00.000000000
GB0007447625,1989-11-30 00:00:00.000000000
GB0007451072,1997-12-18 00:00:00.000000000
GB0007451965,1997-12-18 00:00:00.000000000
GB0007452377,2000-09-04 00:00:00.000000000
GB0007476087,1985-01-28 00:00:00.000000000
GB0007476426,1985-01-28 00:00:00.000000000
GB0007493033,1974-10-01 00:00:00.000000000
GB0007493470,1974-09-30 00:00:00.000000000
GB0007494221,1974-10-01 00:00:00.000000000
GB0007495293,2003-11-25 00:00:00.000000000
GB0007502080,2003-11-25 00:00:00.000000000
GB0007533820,2003-11-25 00:00:00.000000000
GB0007673055,1998-02-08 00:00:00.000000000
GB0007674244,1993-06-25 00:00:00.000000000
GB0007674467,1993-06-25 00:00:00.000000000
GB0007680183,1990-09-28 00:00:00.000000000
GB0007681603,1979-10-29 00:00:00.000000000
GB0007683203,1974-10-01 00:00:00.000000000
GB0007685026,1974-10-01 00:00:00.000000000
GB0007698847,1984-10-08 00:00:00.000000000
GB0007716078,1984-10-08 00:00:00.000000000
GB0009065060,1887-12-16 00:00:00.000000000
GB0009580571,1989-12-01 00:00:00.000000000
GB0030617699,2001-07-20 00:00:00.000000000
GB0030617707,2001-07-20 00:00:00.000000000
GB0030956832,2001-11-09 00:00:00.000000000
GB0030956949,2001-11-09 00:00:00.000000000
GB0031250524,2002-02-22 00:00:00.000000000
GB0031263899,2002-02-25 00:00:00.000000000
GB0031412744,1997-07-30 00:00:00.000000000
GB0031412850,1997-06-27 00:00:00.000000000
GB0031412967,1997-06-01 00:00:00.000000000
GB0031413049,1997-06-01 00:00:00.000000000
GB0031413593,1996-06-28 00:00:00.000000000
GB0031429219,1889-12-12 00:00:00.000000000
GB0031833402,2002-02-08 00:00:00.000000000
GB0031860595,2001-01-31 00:00:00.000000000
GB0031860934,1983-03-31 00:00:00.000000000
GB0031861015,1987-02-27 00:00:00.000000000
GB0031919235,2003-05-16 00:00:00.000000000
GB0031919342,2001-12-28 00:00:00.000000000
GB0032437948,1984-08-31 00:00:00.000000000
GB0032438466,1976-01-26 00:00:00.000000000
GB0032473653,2003-01-20 00:00:00.000000000
GB0032477308,2003-02-03 00:00:00.000000000
GB0032477522,2003-02-10 00:00:00.000000000
GB0032477639,2003-02-03 00:00:00.000000000
GB0033514828,2004-06-10 00:00:00.000000000
GB0033515122,2004-08-11 00:00:00.000000000
GB0033681031,2009-05-11 00:00:00.000000000
GB0034219328,2004-06-11 00:00:00.000000000
GB0034219435,2004-02-16 00:00:00.000000000
GB0034219658,2004-06-11 00:00:00.000000000
GB0034219989,2004-02-23 00:00:00.000000000
GB0034276286,2004-02-16 00:00:00.000000000
GB00B00K2P80,2006-01-23 00:00:00.000000000
GB00B00K2Q97,2005-12-01 00:00:00.000000000
GB00B00K2R05,2006-03-09 00:00:00.000000000
GB00B00K2Z88,2006-02-24 00:00:00.000000000
GB00B00K3006,2007-09-25 00:00:00.000000000
GB00B00K3113,2006-02-24 00:00:00.000000000
GB00B020H958,2005-12-06 00:00:00.000000000
GB00B02W2291,2004-10-01 00:00:00.000000000
GB00B02ZBV03,2005-05-18 00:00:00.000000000
GB00B02ZBX27,2005-02-28 00:00:00.000000000
GB00B03TNM64,2005-01-04 00:00:00.000000000
GB00B03TPL97,2005-02-01 00:00:00.000000000
GB00B06L7J47,2009-12-08 00:00:00.000000000
GB00B0D09R62,2005-12-01 00:00:00.000000000
GB00B0JYQW68,2006-01-20 00:00:00.000000000
GB00B0LYSF14,2005-12-01 00:00:00.000000000
GB00B0LYSG21,2006-03-09 00:00:00.000000000
GB00B0LYSH38,2006-02-24 00:00:00.000000000
GB00B0LZBB16,2006-01-20 00:00:00.000000000
GB00B1809L28,2006-08-15 00:00:00.000000000
GB00B19FLZ44,1987-07-30 00:00:00.000000000
GB00B1CKQF12,2006-09-25 00:00:00.000000000
GB00B1CKS446,2006-09-25 00:00:00.000000000
GB00B1GJNX12,1991-05-29 00:00:00.000000000
GB00B1L74484,2007-01-29 00:00:00.000000000
GB00B1WPDJ97,2010-06-21 00:00:00.000000000
GB00B1WSC029,2007-07-31 00:00:00.000000000
GB00B1WSC573,2010-06-21 00:00:00.000000000
GB00B3B4JF96,2008-08-14 00:00:00.000000000
GB00B3CPX151,2009-01-29 00:00:00.000000000
GB00B3CPX375,2009-01-29 00:00:00.000000000
GB00B3DYKR64,2008-12-01 00:00:00.000000000
GB00B3MX6Y33,2011-10-14 00:00:00.000000000
GB00B3PHCS86,2011-04-28 00:00:00.000000000
GB00B3PJPM93,2011-04-06 00:00:00.000000000
GB00B3VZC642,2009-08-28 00:00:00.000000000
GB00B409PD29,2011-08-12 00:00:00.000000000
GB00B412VB02,2011-08-25 00:00:00.000000000
GB00B41FZF10,2011-08-12 00:00:00.000000000
GB00B463Y203,2012-07-23 00:00:00.000000000
GB00B4JTJZ34,2011-08-12 00:00:00.000000000
GB00B4JVX467,2009-10-01 00:00:00.000000000
GB00B4KX5S91,2011-08-12 00:00:00.000000000
GB00B4KXCG68,2011-08-12 00:00:00.000000000
GB00B4LMJ388,2000-10-24 00:00:00.000000000
GB00B4N77D77,2011-08-12 00:00:00.000000000
GB00B4P4R697,2012-07-23 00:00:00.000000000
GB00B4X2C594,2011-11-11 00:00:00.000000000
GB00B4Y1C447,2012-03-30 00:00:00.000000000
GB00B4YXVT80,2011-11-11 00:00:00.000000000
GB00B51L3292,2012-07-11 00:00:00.000000000
GB00B54J0L85,2012-08-01 00:00:00.000000000
GB00B57LBZ25,2011-05-13 00:00:00.000000000
GB00B58RLX77,2009-11-09 00:00:00.000000000
GB00B5BTGN53,2012-03-05 00:00:00.000000000
GB00B5KKCS68,2009-04-29 00:00:00.000000000
GB00B5KKCX12,2009-04-29 00:00:00.000000000
GB00B5KTVV95,2012-05-11 00:00:00.000000000
GB00B5T7PM36,2011-07-27 00:00:00.000000000
GB00B5TPWM66,2012-08-01 00:00:00.000000000
GB00B5VYGQ34,2010-05-07 00:00:00.000000000
GB00B5WGH651,2011-05-13 00:00:00.000000000
GB00B6193536,2010-02-22 00:00:00.000000000
GB00B61H3Z77,2011-02-28 00:00:00.000000000
GB00B62HVR46,2012-05-04 00:00:00.000000000
GB00B62SGY92,2010-02-22 00:00:00.000000000
GB00B63CMG44,2011-02-28 00:00:00.000000000
GB00B6715Q82,2009-08-17 00:00:00.000000000
GB00B68SFJ13,2012-08-01 00:00:00.000000000
GB00B6RQV980,2011-09-16 00:00:00.000000000
GB00B6RRQ855,2011-09-19 00:00:00.000000000
GB00B6RRQB82,2011-09-19 00:00:00.000000000
GB00B6TX3022,2012-03-07 00:00:00.000000000
GB00B6XY7V09,2012-08-01 00:00:00.000000000
GB00B6ZHN203,2012-07-23 00:00:00.000000000
GB00B716PN33,2012-07-11 00:00:00.000000000
GB00B71DPP64,2012-07-23 00:00:00.000000000
GB00B74TXK27,2012-04-30 00:00:00.000000000
GB00B79BVS75,2012-04-30 00:00:00.000000000
GB00B7BX6S68,2012-05-04 00:00:00.000000000
GB00B7GSYN71,2012-05-04 00:00:00.000000000
GB00B7JZZK97,2013-04-08 00:00:00.000000000
GB00B7KYJH09,2012-07-23 00:00:00.000000000
GB00B7M85J46,2012-09-24 00:00:00.000000000
GB00B7MM5299,2012-07-11 00:00:00.000000000
GB00B7N1FP89,2012-07-11 00:00:00.000000000
GB00B7VD8806,2012-06-29 00:00:00.000000000
GB00B7VD9Z41,2012-07-18 00:00:00.000000000
GB00B7YR0M72,2012-09-24 00:00:00.000000000
GB00B8113P38,2012-08-01 00:00:00.000000000
