ISIN,UCITS, UCITS KIID Ongoing Charge,UCITS KIID Ongoing Charge Date
AU0000044828,,,
AU0000169229,,,
AU0000209348,,,
AU0000254278,,,
AU60ETL01863,,,
AU60ETL03315,,,
AU60HGI17949,,,
AU60HGI34266,,,
AU60HGI37475,,,
AU60HGI41881,,,
AU60HGI46484,,,
AU60HGI54686,,,
AU60HGI59909,,,
AU60HGI71276,,,
AU60HGI84469,,,
AU60HOW00528,,,
AU60HOW01658,,,
AU60HOW55043,,,
AU60HOW87434,,,
AU60IOF00463,,,
AU60IOF00471,,,
AU60IOF01115,,,
AU60IOF01131,,,
AU60IOF01271,,,
AU60IOF01412,,,
AU60IOF01453,,,
GB0001397008,Yes,,
GB0001920486,Yes,1.33,2024-07-31 00:00:00
GB0001990497,No,,
GB0002398047,Yes,,
GB0002540127,No,1.96,2024-02-12 00:00:00
GB0002643673,Yes,,
GB0002703972,Yes,,
GB0002725421,No,1.98,2024-02-12 00:00:00
GB0002762101,Yes,,
GB0002794682,Yes,,
GB0002796067,Yes,,
GB0003222873,Yes,,
GB0003232138,Yes,,
GB0003243465,Yes,1.52,2024-02-12 00:00:00
GB0003486148,Yes,,
GB0004209762,Yes,,
GB0004210323,Yes,,
GB0004210760,No,,
GB0004213228,Yes,,
GB0004213442,Yes,,
GB0004213772,No,,
GB0004216239,Yes,,
GB0004218169,Yes,,
GB0004489455,Yes,0.29,2024-04-10 00:00:00
GB0005006183,Yes,,
GB0005027221,Yes,1.65,2024-03-20 00:00:00
GB0005027338,Yes,1.68,2024-07-31 00:00:00
GB0005030043,Yes,0.85,2024-03-20 00:00:00
GB0005030373,Yes,0.85,2024-07-31 00:00:00
GB0005211817,Yes,,
GB0006155450,No,,
GB0006155674,No,,
GB0007017907,Yes,1.14,2024-02-12 00:00:00
GB0007018194,Yes,1.73,2024-07-31 00:00:00
GB0007033870,Yes,1.14,2024-02-12 00:00:00
GB0007447286,Yes,1.73,2024-03-20 00:00:00
GB0007447625,Yes,0.85,2024-03-20 00:00:00
GB0007451072,Yes,0.88,2024-02-12 00:00:00
GB0007451965,Yes,0.49,2024-02-12 00:00:00
GB0007452377,Yes,0.49,2024-02-12 00:00:00
GB0007476087,Yes,1.69,2024-03-20 00:00:00
GB0007476426,Yes,0.89,2024-03-20 00:00:00
GB0007493033,Yes,1.68,2024-03-20 00:00:00
GB0007493470,Yes,0.88,2024-03-20 00:00:00
GB0007494221,Yes,0.88,2024-03-20 00:00:00
GB0007495293,Yes,1.33,2024-07-31 00:00:00
GB0007502080,Yes,0.7,2024-02-12 00:00:00
GB0007533820,Yes,0.7,2024-07-31 00:00:00
GB0007673055,Yes,0.93,2024-02-12 00:00:00
GB0007674244,Yes,0.54,2024-02-12 00:00:00
GB0007674467,Yes,0.54,2024-02-12 00:00:00
GB0007680183,Yes,1.77,2024-03-20 00:00:00
GB0007681603,Yes,0.89,2024-03-20 00:00:00
GB0007683203,Yes,1.74,2024-02-12 00:00:00
GB0007685026,Yes,0.86,2024-02-12 00:00:00
GB0007698847,Yes,1.65,2024-03-20 00:00:00
GB0007716078,Yes,0.88,2024-03-20 00:00:00
GB0008058074,No,,
GB0008063942,Yes,,
GB0008068446,Yes,,
GB0008088170,Yes,,
GB0008088394,Yes,,
GB0008089251,Yes,,
GB0008089368,Yes,,
GB0008106527,Yes,,
GB0008109208,Yes,,
GB0008110644,Yes,,
GB0008112467,Yes,,
GB0008127119,Yes,,
GB0008136391,Yes,,
GB0008158734,Yes,,
GB0008160250,Yes,,
GB0008160706,Yes,,
GB0008160813,Yes,,
GB0008165531,Yes,,
GB0008165861,Yes,,
GB0008446956,Yes,,
GB0009065060,No,,
GB0009580571,No,,
GB0009604389,Yes,,
GB0009665448,Yes,,
GB0009732768,Yes,,
GB0009749127,Yes,,
GB0009751644,Yes,,
GB0030164460,Yes,,
GB0030388820,Yes,,
GB0030388937,Yes,,
GB0030617699,Yes,0.88,2024-03-20 00:00:00
GB0030617707,Yes,1.65,2024-03-20 00:00:00
GB0030714900,Yes,,
GB0030715089,Yes,,
GB0030956832,Yes,0.85,2024-03-20 00:00:00
GB0030956949,Yes,1.73,2024-03-20 00:00:00
GB0030997042,Yes,,
GB0030997158,Yes,,
GB0031034902,Yes,,
GB0031053118,Yes,,
GB0031108763,Yes,,
GB0031109514,Yes,,
GB0031250524,Yes,1.68,2024-03-20 00:00:00
GB0031252678,Yes,,
