fund_type,FundCode,ShareClassName,ClassIdentifier,FundCurrency,ShareClassCurrency,RFSSGP,Objective,Fund_Name,domicile,legal_structure,launch_date,Umbrella Name,ucits_ongoing_charge,ucits_ongoing_charge_as_at_date,prips_on_going_charges,prips_charges_as_at_date,"SELLING_FOR_COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - T Shares,US4710235072,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,1985-04-26T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - N Shares,US47103D7856,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - S Shares,US47103E3870,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2011-05-06T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - I Shares,US47103E3953,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2011-05-06T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - C Shares,US47103E4118,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2011-05-06T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - A Shares,US47103E4290,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2011-05-06T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,03,Janus Henderson Venture Fund - D Shares,US47103E6766,USD,USD,N,"""""",Janus Henderson Venture Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - T Shares,US4710236062,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,1987-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - S Shares,US47103C7204,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - R Shares,US47103C7386,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - I Shares,US47103C7469,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - C Shares,US47103C7535,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - A Shares,US47103C7618,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - N Shares,US47103D5041,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,04,Janus Henderson Flexible Bond Fund - D Shares,US47103E5024,USD,USD,N,"""""",Janus Henderson Flexible Bond Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - T Shares,US4710232004,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,1991-05-15T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - S Shares,US47103C6131,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
