FundCode,port_mgr_name,port_mgr_role_desc,effective_from_date,display_order
153,Zoey Zhu,Portfolio Manager,2020-05-01T00:00:00.000Z,2
DBGREF,Greg Kuhl,Portfolio Manager,2020-08-01T00:00:00.000Z,3
TDAE,Taf Mugwagwa,Portfolio Manager,2020-01-22T00:00:00.000Z,3
71,Andy Acker,Portfolio Manager,2007-05-01T00:00:00.000Z,1
TABETC,Tabula Investment Management Limited,Portfolio Manager,2024-04-16T00:00:00.000Z,1
04,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
84JSF,Tom Ross,Portfolio Manager,2022-10-01T00:00:00.000Z,1
847,Jeremiah Buckley,Portfolio Manager,2019-11-18T00:00:00.000Z,1
HC5O,Pete Webster,Portfolio Manager,2023-07-07T00:00:00.000Z,3
JHUGSE,Aaron Scully,Portfolio Manager,2022-01-26T00:00:00.000Z,2
TALG,Jay Sivapalan,Portfolio Manager,2018-03-08T00:00:00.000Z,2
UKIOUE,James Henderson,Portfolio Manager,2005-01-01T00:00:00.000Z,2
HHFGHY,Brent Olson,Portfolio Manager,2021-09-01T00:00:00.000Z,2
60,Joshua Cummings,Portfolio Manager,2024-01-26T00:00:00.000Z,2
142,Kevin Preloger,Portfolio Manager,2019-08-01T00:00:00.000Z,1
USGSEF,Hamish Chamberlayne,Portfolio Manager,2020-06-25T00:00:00.000Z,1
848,Colin Fleury,Portfolio Manager,2024-06-01T00:00:00.000Z,4
04,Michael Keough,Portfolio Manager,2015-12-31T00:00:00.000Z,2
12,Matt Peron,Portfolio Manager,2020-04-13T00:00:00.000Z,1
72,Denny Fish,Portfolio Manager,2016-01-12T00:00:00.000Z,1
JHAFSL,Colin Fleury,Portfolio Manager,2023-06-19T00:00:00.000Z,4
UIAE,John Pattullo,Portfolio Manager,2008-12-01T00:00:00.000Z,2
17,Garrett Strum,Portfolio Manager,2017-05-08T00:00:00.000Z,1
63,Jeremiah Buckley,Portfolio Manager,2015-12-31T00:00:00.000Z,1
FMPE27,James Briggs,Portfolio Manager,2023-11-02T00:00:00.000Z,1
PCGOPI,Daniel J. Graña,Portfolio Manager,2022-03-01T00:00:00.000Z,1
FIUUUF,John Pattullo,Portfolio Manager,2011-06-10T00:00:00.000Z,2
NSMOUE,Pete Webster,Portfolio Manager,2023-07-07T00:00:00.000Z,3
61,Brian Demain,Portfolio Manager,2007-11-01T00:00:00.000Z,1
GPESEI,John Bennett,Portfolio Manager,2010-01-14T00:00:00.000Z,3
75,Nick Schommer,Portfolio Manager,2017-07-03T00:00:00.000Z,1
EMKARF,Daniel Siluk,Portfolio Manager,2019-07-01T00:00:00.000Z,1
82JSF,Nick Schommer,Portfolio Manager,2017-04-28T00:00:00.000Z,2
HHFM,Steve Cain,Portfolio Manager,2020-06-03T00:00:00.000Z,2
JUKGHY,Seth Meyer,Portfolio Manager,2020-12-01T00:00:00.000Z,4
JUSE10,Hamish Chamberlayne,Portfolio Manager,2021-09-08T00:00:00.000Z,1
88,Denny Fish,Portfolio Manager,2016-01-12T00:00:00.000Z,1
147,John Kerschner,Portfolio Manager,2014-02-28T00:00:00.000Z,2
KAETPOF,Dylan Bourke,Portfolio Manager,2024-02-01T00:00:00.000Z,2
FMPE27,Tim Winstone,Portfolio Manager,2023-11-02T00:00:00.000Z,2
06,Joshua Cummings,Portfolio Manager,2024-01-26T00:00:00.000Z,2
142,Justin Tugman,Portfolio Manager,2019-08-01T00:00:00.000Z,2
GMSF,David Elms,Portfolio Manager,2006-06-01T00:00:00.000Z,1
HATINT,Jay Sivapalan,Portfolio Manager,2016-05-26T00:00:00.000Z,2
81JSF,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,2
GTEOTI,Richard Clode,Portfolio Manager,2018-03-29T00:00:00.000Z,3
SXUS10,Hamish Chamberlayne,Portfolio Manager,2021-09-08T00:00:00.000Z,1
JUSE10,Aaron Scully,Portfolio Manager,2021-09-08T00:00:00.000Z,2
FIUUUF,Jenna Barnard,Portfolio Manager,2012-09-17T00:00:00.000Z,1
203,Nick Harper,Portfolio Manager,2024-06-07T00:00:00.000Z,2
DTFLUX,Rob Shimell,Portfolio Manager,2023-10-02T00:00:00.000Z,2
154,Zoey Zhu,Portfolio Manager,2020-05-01T00:00:00.000Z,2
83,Michael Keough,Portfolio Manager,2015-12-31T00:00:00.000Z,2
TABGST,Tabula Investment Management Limited,Portfolio Manager,2020-08-18T00:00:00.000Z,1
GEAOPE,John Bennett,Portfolio Manager,2010-12-01T00:00:00.000Z,2
VNLA10,Addison Maier,Portfolio Manager,2024-03-01T00:00:00.000Z,2
APGR,Luke Newman,Portfolio Manager,2017-04-03T00:00:00.000Z,2
TDAE,Shan Kwee,Portfolio Manager,2020-01-22T00:00:00.000Z,2
113,Scott Stutzman,Portfolio Manager,2016-07-01T00:00:00.000Z,2
83JSF,John Lloyd,Portfolio Manager,2024-06-01T00:00:00.000Z,3
HHFGSC,Nick Sheridan,Portfolio Manager,2019-08-06T00:00:00.000Z,1
863,James Briggs,Portfolio Manager,2024-05-20T00:00:00.000Z,1
HHFSBF,John Pattullo,Portfolio Manager,2017-07-26T00:00:00.000Z,2
JHAEME,Matthew Culley,Portfolio Manager,2023-08-09T00:00:00.000Z,2
GPESEI,Tom Lemaigre,Portfolio Manager,2022-02-28T00:00:00.000Z,2
201,Ashwin Alankar,Portfolio Manager,2014-09-01T00:00:00.000Z,1
VNLA10,Daniel Siluk,Portfolio Manager,2016-11-16T00:00:00.000Z,1
JAAA10,Nick Childs,Portfolio Manager,2020-10-16T00:00:00.000Z,2
74,Jonathan Cofsky,Portfolio Manager,2022-03-01T00:00:00.000Z,2
GEAOPE,Robert Schramm-Fuchs,Portfolio Manager,2018-04-30T00:00:00.000Z,1
AEBIFU,John Bennett,Portfolio Manager,2014-09-25T00:00:00.000Z,3
FMPE27,Michael Keough,Portfolio Manager,2023-11-02T00:00:00.000Z,3
