FundCode,ShareClassName,ClassIdentifier,FundAUM,NAV,DistributionYield,HistoricYield,product_key,data_feed_key,ValuationDate
PCGOPI,Janus Henderson Asia Pacific Capital Growth Fund I Acc USD,GB00BVZ6QT02,135143785.423100,13.200000000000,"""""",4.100000000000,34736,76,2024-06-30T00:00:00.000Z
PCGOPI,Janus Henderson Asia Pacific Capital Growth Fund I Acc,GB0007681603,135143785.423100,1430.000000000000,"""""",1.100000000000,34736,76,2024-06-30T00:00:00.000Z
PCGOPI,Janus Henderson Asia Pacific Capital Growth Fund A Acc,GB0007680183,135143785.423100,1219.000000000000,"""""",0.200000000000,34736,76,2024-06-30T00:00:00.000Z
PCGOPI,Janus Henderson Asia Pacific Capital Growth Fund E Acc,GB00BJ0LF116,135143785.423100,1250.000000000000,"""""",0.700000000000,34736,76,2024-06-30T00:00:00.000Z
EGFOEI,Janus Henderson European Mid and Large Cap Fund E Acc,GB00BJ0LFG67,785943836.884600,348.600000000000,"""""",1.200000000000,34975,76,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund E2 USD,IE000GP4O479,21765041.680000,11.330000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund A2 USD,IE0004444828,21765041.680000,36.580000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund A2 HCHF,IE000WX1VW28,21765041.680000,8.760000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
EGFOEI,Janus Henderson European Mid and Large Cap Fund A Acc,GB0030617707,785943836.884600,340.000000000000,"""""",0.700000000000,34975,76,2024-06-30T00:00:00.000Z
EGFOEI,Janus Henderson European Mid and Large Cap Fund Z Acc,GB00B6RQV980,785943836.884600,412.700000000000,"""""",2.500000000000,34975,76,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund I2 HEUR,IE00B2N6J677,21765041.680000,25.640000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund H2 USD,IE00BFRSYW11,21765041.680000,28.240000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
EGFOEI,Janus Henderson European Mid and Large Cap Fund S Inc,GB00B0995X53,785943836.884600,432.100000000000,"""""",2.400000000000,34975,76,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund E2 HEUR,IE00B6QBS936,21765041.680000,20.070000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund G2 USD,IE0000PUIKX8,21765041.680000,13.880000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund B2 USD,IE0031118791,21765041.680000,28.360000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
EGFOEI,Janus Henderson European Mid and Large Cap Fund I Acc,GB0030617699,785943836.884600,807.600000000000,"""""",1.500000000000,34975,76,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund A2 HEUR,IE0009511647,21765041.680000,30.070000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund A1 USD,IE00B2B35J52,21765041.680000,28.190000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
80,Janus Henderson US Contrarian Fund I2 USD,IE0009514872,21765041.680000,46.990000000000,"""""","""""",36127,78,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund I2 EUR,LU0828818087,320229473.458896,168.700000000000,5.700000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund C2 EUR,LU1329696717,320229473.458896,107.730000000000,5.700000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund I2 HCHF,LU2342234536,320229473.458896,143.090000000000,5.700000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund A3q EUR,LU0828815224,320229473.458896,93.430000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund Z2 EUR,LU1446761907,320229473.458896,129.520000000000,5.600000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund A2 HCHF,LU0828817600,320229473.458896,146.270000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund H2 HCHF,LU2342234379,320229473.458896,142.920000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund A3q HUSD,LU1627920678,320229473.458896,97.960000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund I3q HUSD,LU1627921569,320229473.458896,100.680000000000,5.700000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund H3q EUR,LU1678961381,320229473.458896,105.320000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund X2 EUR,LU0828820901,320229473.458896,129.270000000000,4.900000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund A2 EUR,LU0828815570,320229473.458896,160.880000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund Z3m EUR,LU2740296764,320229473.458896,127.030000000000,0E-12,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund X3q EUR,LU0828821115,320229473.458896,87.050000000000,4.900000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund GU2 HCHF,LU2342234452,320229473.458896,143.980000000000,5.600000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund I2 HUSD,LU0828818913,320229473.458896,170.580000000000,5.700000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund A2 HUSD,LU0828816461,320229473.458896,187.190000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund H2 EUR,LU1272163806,320229473.458896,132.260000000000,5.200000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HHFEHY,Janus Henderson Horizon Euro High Yield Bond Fund GU2 EUR,LU1963063406,320229473.458896,160.940000000000,5.600000000000,"""""",35120,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund E Acc,GB00BJ0LDZ17,189670243.486700,156.700000000000,4.800000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund I Inc,GB0007451965,189670243.486700,116.700000000000,4.900000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund E Inc,GB00BJ0LF009,189670243.486700,115.100000000000,4.800000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund Z Acc,GB00B03TNM64,189670243.486700,248.000000000000,5.400000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund I Acc,GB0007452377,189670243.486700,260.600000000000,4.900000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund A Inc,GB0007451072,189670243.486700,115.100000000000,4.500000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HIOCBF,Janus Henderson All Stocks Credit Fund A Acc,GB00B409PD29,189670243.486700,154.800000000000,4.500000000000,"""""",34852,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund H2 GBP,LU2614965189,43916932920.263903,67.860000000000,"""""",1.000000000000,36125,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund A2 HSGD,LU0976556851,43916932920.263903,89.170000000000,"""""",0.100000000000,36125,76,2024-06-30T00:00:00.000Z
USGREF,Janus Henderson Global Real Estate Fund - C Shares,US47103A5911,382409296.240000,10.870000000000,"""""","""""",34578,78,2024-06-30T00:00:00.000Z
USGREF,Janus Henderson Global Real Estate Fund - T Shares,US47103A5671,382409296.240000,11.210000000000,"""""","""""",34578,78,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund I2 HEUR,LU1572379003,43916932920.263903,90.240000000000,"""""",1.000000000000,36125,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund GU2 JPY,LU2253109396,43916932920.263903,10663.040000000000,"""""",0.100000000000,36125,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund I2 USD,LU0196036015,43916932920.263903,72.510000000000,"""""",1.000000000000,36125,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund M2 EUR,LU2564094709,43916932920.263903,102.570000000000,"""""",1.000000000000,36125,76,2024-06-30T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund I2 HSGD,LU1456297057,43916932920.263903,123.800000000000,"""""",1.000000000000,36125,76,2024-06-30T00:00:00.000Z
USGREF,Janus Henderson Global Real Estate Fund - I Shares,US47103A5838,382409296.240000,11.210000000000,"""""","""""",34578,78,2024-06-30T00:00:00.000Z
