FundCode,ShareClassName,ClassIdentifier,MorningstarRating,OngoingCharge,AMC,ChargesAsAtDate
JHBIF,Janus Henderson Biotech Innovation Fund LLC Restricted Class-A1 USD (Side Pocket),DMMY00000282,Not Rated,"""""",1.500,""""""
HEUZEI,Janus Henderson Horizon Euroland Fund X2 HUSD,LU1179331720,Not Rated,2.47,1.200,2023-12-29T00:00:00.000Z
17,Janus Henderson Government Money Market Fund - D Shares,US47103E8580,Not Rated,"""""",0.200,""""""
HAPZPP,Janus Henderson Horizon Asia-Pacific Property Income Fund H2 EUR,LU1678960813,Morningstar 4 Star,1.11,0.600,2023-12-29T00:00:00.000Z
GMSF,Janus Henderson Multi Strategy Fund Limited (Cayman Feeder) Class A SGD Non-Voting,KYG5012A1546,Not Rated,"""""",1.000,""""""
HIOCBF,Janus Henderson All Stocks Credit Fund Z Acc,GB00B03TNM64,Not Rated,0.04,0.000,2023-12-31T00:00:00.000Z
105,Janus Henderson VIT Mid Cap Value Portfolio Institutional Class,US4710214366,Morningstar 3 Star,"""""",0.500,""""""
GSMSUS,Janus Henderson Pan European Small and Mid-Cap Fund X2 EUR,LU0135928611,Morningstar 3 Star,2.17,1.500,2024-03-31T00:00:00.000Z
GUKSAF,Janus Henderson Absolute Return Fund H2 GBP,LU0995139184,Not Rated,1.03,0.900,2024-03-31T00:00:00.000Z
83,Janus Henderson Flexible Income Fund A3m HKD,IE00B3R7SC21,Morningstar 1 Star,1.88,1.000,2023-12-31T00:00:00.000Z
HHFGHY,Janus Henderson Horizon Global High Yield Bond Fund H2 HSEK,LU2255682606,Not Rated,0.80,0.380,2023-12-29T00:00:00.000Z
806,Janus Henderson Global Investment Grade Bond Fund E3m HEUR,IE00B3PWP390,Morningstar 2 Star,1.33,0.550,2023-12-31T00:00:00.000Z
GCNOPI,Janus Henderson China Opportunities Fund E Acc,GB00BJ0LF884,Morningstar 3 Star,1.25,1.000,2023-11-30T00:00:00.000Z
HHFGHY,Janus Henderson Horizon Global High Yield Bond Fund GU3q HGBP,LU2046587064,Morningstar 1 Star,0.57,0.500,2023-12-29T00:00:00.000Z
HEUZEI,Janus Henderson Horizon Euroland Fund F2 HUSD,LU1387768325,Not Rated,1.07,0.400,2023-12-29T00:00:00.000Z
HHFEMD,Janus Henderson Horizon Emerging Markets Debt Hard Currency Fund Z2 USD,LU2548015697,Not Rated,0.09,0.000,2023-12-29T00:00:00.000Z
FMPE27,Janus Henderson Fixed Maturity Bond Fund (EUR) 2027 H2 EUR,IE000S525MX2,Not Rated,0.65,0.500,2023-12-31T00:00:00.000Z
148,Janus Henderson Absolute Return Income Opportunities Fund -D Shares,US47103D4473,Morningstar 3 Star,"""""",0.650,""""""
EHYOFQ,Janus Henderson Strategic Bond Fund I Acc,GB0007533820,Morningstar 2 Star,0.70,0.600,2023-12-31T00:00:00.000Z
JHBIF,Janus Henderson Delaware Biotech Innovation Fund Class A1 USD Restricted,DMMY00000224,Not Rated,"""""",1.000,""""""
USAEFI,Janus Henderson Asia Equity Fund - A Shares,US47103E3797,Morningstar 2 Star,"""""",0.730,""""""
84,Janus Henderson High Yield Fund G2 USD,IE000U1TEQK8,Not Rated,0.50,0.500,2023-12-31T00:00:00.000Z
HGLZTI,Janus Henderson Horizon Global Technology Leaders Fund G2 USD,LU0973119869,Morningstar 4 Star,0.85,0.750,2023-12-29T00:00:00.000Z
GEMSMI,Janus Henderson Emerging Markets Fund H2 GBP,LU1526027823,Morningstar 2 Star,1.00,0.750,2024-03-31T00:00:00.000Z
HHJZJS,Janus Henderson Horizon Japanese Smaller Companies Fund Z2 JPY,LU1129860224,Not Rated,"""""",0.000,""""""
HAPZPE,Janus Henderson Horizon Pan European Absolute Return Fund X2 HUSD,LU0506198851,Not Rated,2.48,1.200,2023-12-29T00:00:00.000Z
JHAGSE,Janus Henderson Global Sustainable Equity Fund,AU60HGI71276,Not Rated,"""""",0.800,""""""
148,Janus Henderson Absolute Return Income Opportunities Fund - I Shares,US47103D4390,Morningstar 3 Star,"""""",0.650,""""""
81,Janus Henderson Balanced Fund A5m HSGD,IE00BFSS8Q28,Not Rated,1.89,1.000,2023-12-31T00:00:00.000Z
GCOSPE,Janus Henderson Continental European Fund X2 EUR,LU0135928298,Morningstar 4 Star,2.13,1.500,2024-03-31T00:00:00.000Z
102,Janus Henderson Mid Cap Value Fund - C Shares,US47103C2585,Morningstar 3 Star,"""""",0.450,""""""
ASCR,Janus Henderson Sustainable Credit Active ETF (Managed Fund),AU0000254278,Not Rated,"""""",0.500,""""""
81,Janus Henderson Balanced Fund I1m HEUR,IE00B7VGZP57,Morningstar 3 Star,0.86,0.800,2023-12-31T00:00:00.000Z
142,Janus Henderson Small-Mid Cap Value Fund - A Shares,US47103E2393,Morningstar 2 Star,"""""",0.560,""""""
HGLZTI,Janus Henderson Horizon Global Technology Leaders Fund A2 HSGD,LU0642271901,Not Rated,1.87,1.200,2023-12-29T00:00:00.000Z
HDIZAE,Janus Henderson Horizon Asian Dividend Income Fund A4m USD,LU1807432866,Morningstar 2 Star,1.93,1.200,2023-12-29T00:00:00.000Z
HEUZEI,Janus Henderson Horizon Euroland Fund I2 EUR,LU0196034820,Morningstar 4 Star,1.00,1.000,2023-12-29T00:00:00.000Z
